DATAFLOW,LAST UPDATE,freq,duration,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Austria,2016,15.1,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Austria,2017,15.0,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Austria,2018,15.5,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Austria,2019,15.7,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Austria,2020,14.5,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Austria,2021,13.7,b,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Austria,2022,15.3,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Austria,2023,15.2,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Austria,2024,13.9,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Austria,2025,13.6,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Bosnia and Herzegovina,2021,8.2,b,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Bosnia and Herzegovina,2022,6.9,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Bosnia and Herzegovina,2023,5.7,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Bosnia and Herzegovina,2024,6.5,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Bosnia and Herzegovina,2025,4.9,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Belgium,2016,11.3,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Belgium,2017,11.3,b,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Belgium,2018,11.0,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Belgium,2019,12.1,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Belgium,2020,11.0,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Belgium,2021,12.1,b,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Belgium,2022,12.1,,
