"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Afghanistan","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2021",44.91,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2021",33.1,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employee by sex","Male","2025",52.66,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employee by sex","Female","2025",46.67,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employee by sex","Male","2024",52.89,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employee by sex","Female","2024",46.26,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employee by sex","Male","2023",51.54,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employee by sex","Female","2023",44.43,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employee by sex","Male","2022",51.43,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employee by sex","Female","2022",44.71,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employee by sex","Male","2021",50.89,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employee by sex","Female","2021",44.06,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employee by sex","Male","2020",50.47,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employee by sex","Female","2020",42.23,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employee by sex","Male","2019",51.03,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employee by sex","Female","2019",42.38,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2024",44.62,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2024",42.46,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2023",44.54,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2023",42.66,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2022",44.84,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2022",42.62,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2021",44.39,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2021",42.12,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2020",44.1,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2020",42.11,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2019",44.37,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2019",42.32,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2018",44.35,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2018",42.4,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2017",44.07,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2017",42.26,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2016",43.74,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2016",41.95,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2015",43.49,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2015",41.2,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2024",46.48,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2024",46.64,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2023",48.41,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2023",49,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2022",49.33,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2022",51.62,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2019",51.33,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2019",52.65,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2018",49.62,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2018",53.54,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2017",52.32,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2017",65.64,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Argentina","HS - Households Living Conditions Survey","Mean weekly hours usually worked per employee by sex","Male","2018",42.61,,,"Repository: ILO-STATISTICS - Micro data processing"
"Argentina","HS - Households Living Conditions Survey","Mean weekly hours usually worked per employee by sex","Female","2018",31.52,,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","HIES - Households Living Conditions Survey","Mean weekly hours usually worked per employee by sex","Male","2023",45.79,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Mean weekly hours usually worked per employee by sex","Female","2023",41.48,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Mean weekly hours usually worked per employee by sex","Male","2022",45.68,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Mean weekly hours usually worked per employee by sex","Female","2022",40.44,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Mean weekly hours usually worked per employee by sex","Male","2021",45.98,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Mean weekly hours usually worked per employee by sex","Female","2021",40.89,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
